1_num	2_andr_10KHz_time_nanosec	3_andr_100KHz_time_nanosec	4_andr_1000KHz_time_nanosec	5_disc_10KHz_time_nanosec	6_disc_100KHz_time_nanosec	7_disc_1000KHz_time_nanosec	8_ram_10KHz_time_nanosec	9_two_10KHz_time_nanosec	10_two_100KHz_time_nanosec	11_two_1000KHz_time_nanosec
225	116610048	103459840	inf	3389952	19079936	48539904	238759936	750080	60910080	121139968
226	116340224	103159808	inf	3209984	18670080	49050112	240369920	740096	60570112	121850112
227	120470016	104000000	inf	3280128	18210048	49910016	240290048	750080	60249856	122210048
228	120199936	104780032	inf	3140096	17900032	51990016	247020032	759808	59909888	122259968
229	119920128	104460032	inf	3360000	17609984	53260032	247419904	729856	59560192	122660096
230	122470144	104940032	inf	3820032	17240064	55559936	248760064	790016	59260160	124509952
231	122169856	103129856	inf	4169984	16950016	57070080	250020096	749824	58309888	125910016
232	123449856	102830080	inf	4550144	16640000	56929792	250630144	780032	58149888	126560000
233	125299968	102589952	inf	4090112	16090112	57379840	250520064	780032	58669824	127409920
234	125020160	102870016	inf	3040000	15769856	60160000	253529856	900096	59409920	128140032
235	124770048	101390080	inf	2710016	15219968	59470080	254210048	790016	59520000	129210112
236	126029824	100559872	inf	2700032	15180032	59089920	255369984	749824	59419904	129129984
237	125829888	99970048	inf	2309888	15209984	57060096	255570176	769792	58750208	130129920
238	125550080	98140160	inf	1349888	16360192	60120064	258799872	749824	58710016	130070016
239	125280000	98739968	inf	840192	16069888	63120128	259330048	739840	59459840	130889984
240	124990208	98279936	inf	3169792	15729920	64359936	259889920	770048	59380224	131640064
241	146889984	98000128	inf	3340032	15290112	65449984	259580160	740096	59089920	131969792
242	146619904	97720064	inf	3649792	14889984	65219840	259470080	740096	58830080	131830016
243	146350080	97440000	inf	3479808	14490112	64950016	260749824	750080	60040192	131770112
244	146099968	97820160	inf	3609856	13990144	64659968	262319872	740096	61159936	131470080
245	146240000	98700032	inf	3569920	15840000	64400128	263340032	740096	62019840	131429888
246	145979904	98439936	inf	3270144	15399936	65270016	265179904	800000	61969920	131439872
247	145709824	98160128	inf	2959872	15049984	64489984	269179904	740096	62190080	131110144
