num	disc_10KHz_f	disc_100KHz_f	disc_1000KHz_f	disc_10KHz_p	disc_100KHz_p	disc_1000KHz_p	disc_10KHz_n	disc_100KHz_n	disc_1000KHz_n
265	26659840	1600000	34680064	101779968	78269952	24679936	31450112	59109888	45430016
266	28569856	1149952	35709952	101260032	83879936	25449984	31169792	58850048	43709952
267	31120128	1510144	35430144	100969984	83440128	27859968	30860032	58360064	42770176
268	32349952	1570048	35399936	100559872	83869952	28049920	30540032	58050048	42419968
269	32059904	1430016	35110144	100230144	83699968	29640192	30139904	57809920	41989888
270	31660032	1390080	34279936	99800064	84610048	29999872	29630208	57520128	41260032
271	32310016	1509888	33849856	99500032	84430080	29750016	29159936	57220096	40950016
272	32140032	1989888	34990080	99069952	85270016	29490176	37349888	56899840	39190016
273	31869952	2269952	34429952	98769920	85090048	29999872	36999936	56600064	37720064
274	31180032	1880064	33580032	98380032	84760064	29819904	36679936	56770048	37399808
275	30890240	1980160	35069952	97730048	84539904	29480192	36100096	56489984	36979968
276	30550016	1430016	36800000	98950144	83790080	29199872	35769856	56200192	36000000
277	30149888	809984	37680128	98579968	83229952	28869888	35460096	54899968	35079936
278	29830144	1090048	37400064	98099968	82909952	28540160	35170048	54599936	34419968
279	29400064	1090048	37110016	97689856	82230016	28369920	34839808	54310144	31990016
280	28970240	1100032	36829952	97399808	75820032	29380096	34409984	55680000	31589888
281	28679936	1050112	36539904	97010176	75480064	29499904	33999872	55360000	31369984
282	29120000	1580032	36160000	97479936	78259968	30880000	33489920	59630080	31369984
283	43490048	2000128	35869952	98230016	78459904	30650112	33880064	61770240	30579968
284	43229952	2029824	40620032	98730240	79129856	29849856	33810176	61489920	30240000
285	43409920	1550080	44110080	98429952	78650112	29539840	33590016	61199872	28669952
286	43889920	1340160	43819776	101209856	78309888	29240064	33530112	60910080	29139968
287	43930112	1620224	43280128	100769792	77780224	28960000	33360128	60630016	29359872
288	46319872	2050048	42959872	100430080	77410048	28210176	32910080	60339968	29050112
289	45690112	2510080	42610176	100039936	77100032	27840000	33139968	60049920	28849920
290	45659904	2860032	41850112	99680000	76659968	31660032	33039872	59759872	29089792
